,,,Degree of urbanisation,,,,Socio-economic factors (local),,,Energy use,,,Global trends,,,Trilemma index (national,,
Years,Production (TJ),Consumption (TJ),Transportation (TJ),Industry  (TJ),Residential (TJ),Commercial (TJ),Population growth (%),Population density (%),GDP (billion USD),Installed capacity of renewable energies (MW),Reserves (TJ),Oil & products Imports (TJ),Population growth (%),GDP (Trillion USD),Oil prices ($/MW),Energy Security (%),Energy Equity (%),Environmental Sustainability (%)
1973,1600,84300,28400,42900,27200,23000,2.08,24.4,6.242,620,612,102576.6,1.98,4.642,5.591059,-1,-1,-1
1974,1000,93800,28400,49800,28400,24300,2.12,24.92,7.675,620,612,126022.7,1.93,5.35,19.67917,-1,-1,-1
1975,800,96000,30500,46100,29800,26000,2.18,25.47,8.985,620,612,128116.1,1.86,5.96,19.5942,-1,-1,-1
1976,400,103000,31900,50400,31800,27700,2.24,26.05,9.584,620,612,136489.7,1.8,6.479,21.75245,-1,-1,-1
1977,900,116300,35700,56500,34100,30000,2.29,26.65,11.05,620,612,149468.8,1.75,7.328,23.65579,-1,-1,-1
1978,900,122500,36500,60900,36400,31100,2.33,27.28,13.24,620,612,154911.6,1.75,8.631,23.82573,-1,-1,-1
1979,700,134900,40500,67500,38600,32700,2.37,27.93,15.91,620,612,212270.8,1.76,10.025,53.71835,-1,-1,-1
1980,500,134200,36400,71800,38700,33500,2.39,28.61,21.73,620,612,177939,1.75,11.301,62.58927,-1,-1,-1
1981,700,124300,35900,64700,39000,34000,2.42,29.31,17.79,620,459,193430.2,1.76,11.692,61.0598,-1,-1,-1
1982,600,129100,38700,64200,41500,35000,2.43,30.03,17.69,620,1958.4,198035.6,1.8,11.575,56.02955,-1,-1,-1
1983,700,126000,37500,67400,43500,36000,2.41,30.77,16.25,620,1774.8,191755.4,1.78,11.803,50.21757,-1,-1,-1
1984,600,124100,36100,67500,44700,36700,2.33,31.49,14.82,620,1346.4,205571.9,1.75,12.234,48.90902,-1,-1,-1
1985,900,124600,36600,72600,46700,37900,2.23,32.2,14.99,620,1530,213108.1,1.75,12.867,46.83574,-1,-1,-1
1986,900,124300,38800,68600,23100,38900,2.12,32.89,19.46,620,1530,203897.2,1.77,15.214,24.52249,-1,-1,-1
1987,700,123700,40700,61400,23700,39600,2.01,33.56,21.77,620,1836,215201.5,1.78,17.317,31.32869,-1,-1,-1
1988,800,130700,42700,74800,24200,33000,1.93,34.21,25.71,620,16524,225668.5,1.77,19.339,25.36173,-1,-1,-1
1989,500,145100,48500,86700,24800,33900,1.87,34.86,26.31,620,15912,247021.2,1.74,20.136,30.97364,-1,-1,-1
1990,628,149962,54400,82100,26600,37800,1.84,35.51,30.18,620,15300,261256.3,1.74,22.699,40.3199,-1,-1,-1
1991,502,159356,60300,87000,27400,39400,1.81,36.15,32.29,620,12240,253301.4,1.67,23.68,33.98975,-1,-1,-1
1992,461,180224,66900,92000,28300,42100,1.77,36.8,33.71,620,13090.68,298937.5,1.57,25.383,32.83402,-1,-1,-1
1993,419,179870,72300,81100,29400,44700,1.71,37.44,31.66,620,9816.48,304799,1.56,25.82,28.84176,-1,-1,-1
1994,335,199245,78000,89600,30100,46600,1.63,38.05,35.6,620,9810.36,324058.3,1.52,27.874,26.88063,-1,-1,-1
1995,209,202242,82600,80100,30600,47700,1.53,38.64,39.03,620,10624.32,310241.9,1.51,31.043,28.91832,-1,-1,-1
1996,209,202789,88100,88600,31300,48400,1.43,39.19,43.16,1221,7282.8,281353,1.45,31.736,35.12424,-1,-1,-1
1997,502,216561,94100,88500,32000,49300,1.35,39.72,39.15,1221,7282.8,310660.6,1.43,31.62,32.44613,-1,-1,-1
1998,502,227229,100000,90900,32900,51400,1.27,40.23,41.81,1221,12031.92,314847.4,1.39,31.54,21.60912,-1,-1,-1
1999,461,239954,106700,92900,31900,51800,1.22,40.73,41.63,1221,12031.92,359646.1,1.35,32.734,30.53853,-1,-1,-1
2000,544,237801,112300,93000,32400,52500,1.18,41.21,38.86,1221,11652.48,357134,1.32,33.816,48.42545,100,100,100
2001,419,243601,118600,91300,34000,57500,1.15,41.69,39.46,1221,11016,384348.2,1.3,33.609,41.54019,93.57,100.18,101.72
2002,544,246881,124200,89200,34600,58400,1.12,42.16,42.24,1221,11016,350435.2,1.28,34.884,42.52477,93.65,100.12,99.26
2003,419,254052,129400,77400,35400,60500,1.11,42.63,52.06,1319,9792,347923.1,1.26,39.129,48.99519,91.97,95.48,98.43
2004,461,290764,134000,90200,55500,82500,1.11,43.1,59.63,1552,9792,412399.8,1.25,44.096,65.02792,93.85,93.85,96.06
2005,293,314003,139500,104300,53700,83000,1.12,43.59,62.34,1783,9792,441707.4,1.25,47.774,92.65368,97,96.52,95.64
2006,419,330572,143700,113400,51700,81700,1.14,44.09,68.64,1783,6542.28,439195.3,1.24,51.769,110.7065,102.77,96.99,98.71
2007,461,348884,152800,114600,49800,80900,1.16,44.6,79.04,1843,6046.56,477713.9,1.24,58.321,123.0187,97.18,97.88,98.37
2008,377,369240,167400,114400,50200,82300,1.19,45.14,92.51,1843,5116.32,471433.7,1.24,64.014,165.2778,97.39,98.76,101.32
2009,335,394489,177200,114900,47300,83500,1.24,45.7,92.9,1970,4602.24,507440.2,1.22,60.73,104.8048,94.22,98.99,100.22
2010,419,403544,186400,122200,47000,84200,1.29,46.29,93.22,1991,4602.24,556844.4,1.2,66.488,135.0955,93.7,99.47,97.53
2011,419,431037,197300,135500,48300,87800,1.35,46.92,101.04,2025,4186.08,490274.3,1.17,73.654,189.0689,97.85,112.28,100.52
2012,293,436841,200300,140500,49800,91200,1.39,47.58,98.27,2025,4186.08,666957.2,1.18,75.312,189.7726,100.69,121.55,101.31
2013,335,449595,208100,138700,50300,93700,1.42,48.26,106.8,2265,4186.08,656490.2,1.18,77.44,184.6554,93.29,121.33,97.54
2014,209,443122,210800,128700,51100,95800,1.4,48.94,110.1,2567,4186.08,627601.3,1.18,79.558,168.1498,88.49,121.82,95.68
2015,209,462740,224000,126000,51200,98400,1.37,49.61,101.2,2728,4186.08,567311.4,1.17,75.112,89.02658,110.11,122.69,101.16
2016,209,471364,233900,120800,51900,101800,1.33,50.28,103.3,2798,4186.08,532142.3,1.16,76.305,74.32229,109.87,121.99,100.13
2017,194,497157,241900,136500,53900,105100,1.29,50.93,109.7,2948,-1,565636.7,1.14,81.193,92.09518,113.51,121.42,102.35
2018,203,503973,248600,136200,54200,105500,1.25,51.57,118.1,3681,-1,552238.9,1.11,86.268,121.185,113.15,130.98,102.23
2019,181,523677,260000,134700,55800,108800,1.22,52.2,119.7,3681,-1,551401.6,1.07,87.568,109.1201,115.69,151.65,99.43
